"","d1.txt","d2.txt","d3.txt","speech1.txt","tdm.csv","Text_MR.R"
"four",0,1,0,0,1,0
"freshly",0,1,0,0,1,0
"fujairah",0,1,0,0,1,0
"fury",0,1,0,0,1,0
"good",0,1,0,6,1,0
"goodwill",0,1,0,0,1,0
"government",0,1,0,0,1,0
"guards",0,1,0,0,1,0
"hadi",0,1,0,0,1,0
"handle",0,1,0,1,1,0
"hardliner",0,1,0,0,1,0
"hassan",0,1,0,0,1,0
"history",0,1,0,1,1,0
"hold",0,3,0,0,1,0
"hopes",0,1,0,0,1,0
"hoping",0,1,0,0,1,0
"hormuz",0,1,0,0,1,0
"houthi",0,1,0,0,1,0
"houthis",0,2,0,0,1,0
"huge",0,1,0,0,1,0
"importer",0,1,0,0,1,0
"imports",0,1,0,0,1,0
"imposed",0,1,0,0,1,0
"incapable",0,1,0,0,1,0
"increasing",0,1,0,0,1,0
"increasingly",0,3,1,0,1,0
"india",0,1,0,0,1,0
"insist",0,1,0,1,1,0
"insolvency",0,2,0,0,1,0
"interview",0,1,1,0,1,0
"involvement",0,3,0,0,1,0
"iranian",0,8,1,0,1,0
"iranians",0,1,0,0,1,0
"iranians’",0,1,0,0,1,0
"iranianus",0,1,0,0,1,0
"irreversible",0,1,0,0,1,0
"islamic",0,2,1,0,1,0
"israel",0,1,0,0,1,0
"issue",0,1,0,0,1,0
"japan",0,3,0,2,1,0
"japanese",0,3,0,0,1,0
"javad",0,1,0,0,1,0
"jerusalem",0,1,0,0,1,0
"john",0,1,0,0,1,0
"joint",0,1,0,0,1,0
"jumpstart",0,1,0,0,1,0
"jun",0,2,0,0,1,0
"khamenei",0,1,1,0,1,0
"kingdom’s",0,1,0,0,1,0
"known",0,1,0,0,1,0
"largely",0,1,0,0,1,0
"launch",0,1,1,0,1,0
"lead",0,2,0,2,1,0
"leader",0,2,1,0,1,0
"levels",0,1,0,0,1,1
"lifeblood",0,1,0,0,1,0
